match_id,event_name,event_stage,match_date,team1,team2,score_overall,player_name,player_id,player_team,stat_type,agent,rating,acs,k,d,a,kd_diff,kast,adr,hs_percent,fk,fd,fk_fd_diff,map_name,map_winner
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Akame,13002,DetonatioN FocusMe,overall,"Fade, Chamber",1.04,209,31,30,9,+1,73%,140,35%,6,6,0,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Meiy,6672,DetonatioN FocusMe,overall,"Raze, Yoru",1.04,198,32,30,5,+2,68%,122,31%,4,5,-1,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Jinboong,4052,DetonatioN FocusMe,overall,Vyse,1.04,208,30,29,4,+1,66%,139,35%,3,5,-2,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,gyen,48577,DetonatioN FocusMe,overall,"Viper, Astra",0.84,170,26,32,13,-6,73%,107,60%,5,2,+3,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Art,10627,DetonatioN FocusMe,overall,"Omen, Sova",0.59,137,20,32,8,-12,61%,90,24%,2,6,-4,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Kr1stal,5796,Global Esports,overall,"Tejo, Sova",1.36,212,33,21,12,+12,80%,153,28%,4,4,0,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,kellyS,7437,Global Esports,overall,"Breach, Vyse",1.21,241,35,30,23,+5,64%,165,18%,1,3,-2,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Papi,13219,Global Esports,overall,"Omen, Astra",1.03,153,27,24,19,+3,82%,94,35%,1,2,-1,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,UdoTan,4428,Global Esports,overall,"Cypher, Killjoy",1.02,209,33,30,9,+3,73%,145,37%,5,5,0,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,yokam,44259,Global Esports,overall,"Yoru, Jett",0.71,174,25,34,5,-9,70%,108,29%,13,6,+7,,
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Akame,13002,DetonatioN FocusMe,map,Fade,1.11,241,17,15,6,+2,75%,159,37%,1,3,-2,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Meiy,6672,DetonatioN FocusMe,map,Raze,1.09,208,15,14,1,+1,70%,122,30%,1,2,-1,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Jinboong,4052,DetonatioN FocusMe,map,Vyse,0.92,200,14,15,1,-1,75%,137,33%,2,2,0,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,gyen,48577,DetonatioN FocusMe,map,Viper,0.85,183,13,14,3,-1,70%,105,72%,4,0,+4,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Art,10627,DetonatioN FocusMe,map,Omen,0.50,106,7,14,2,-7,50%,71,24%,1,4,-3,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Kr1stal,5796,Global Esports,map,Tejo,1.41,208,14,9,7,+5,80%,148,23%,2,1,+1,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,kellyS,7437,Global Esports,map,Breach,1.38,240,16,13,17,+3,65%,167,20%,1,1,0,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Papi,13219,Global Esports,map,Omen,1.15,178,14,11,12,+3,90%,103,43%,1,1,0,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,UdoTan,4428,Global Esports,map,Cypher,0.92,200,15,15,6,0,60%,134,50%,1,2,-1,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,yokam,44259,Global Esports,map,Yoru,0.70,188,13,18,4,-5,70%,119,25%,6,4,+2,Lotus,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Jinboong,4052,DetonatioN FocusMe,map,Vyse,1.13,216,16,14,3,+2,58%,142,36%,1,3,-2,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Meiy,6672,DetonatioN FocusMe,map,Yoru,1.00,187,17,16,4,+1,67%,122,33%,3,3,0,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Akame,13002,DetonatioN FocusMe,map,Chamber,0.97,176,14,15,3,-1,71%,123,33%,5,3,+2,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,gyen,48577,DetonatioN FocusMe,map,Astra,0.83,157,13,18,10,-5,75%,109,52%,1,2,-1,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Art,10627,DetonatioN FocusMe,map,Sova,0.67,168,13,18,6,-5,71%,105,24%,1,2,-1,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Kr1stal,5796,Global Esports,map,Sova,1.31,215,19,12,5,+7,79%,157,32%,2,3,-1,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,UdoTan,4428,Global Esports,map,Killjoy,1.11,217,18,15,3,+3,83%,154,29%,4,3,+1,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,kellyS,7437,Global Esports,map,Vyse,1.06,242,19,17,6,+2,63%,163,16%,0,2,-2,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,Papi,13219,Global Esports,map,Astra,0.93,128,13,13,7,0,75%,86,29%,0,1,-1,Pearl,Global Esports
458805,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 04:00:00,DetonatioN FocusMe,Global Esports,0 - 2,yokam,44259,Global Esports,map,Jett,0.72,159,12,16,1,-4,71%,99,38%,7,2,+5,Pearl,Global Esports
458806,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 06:40:00,T1,ZETA DIVISION,2 - 1,Meteor,13039,T1,overall,"Vyse, Viper, Iso",1.15,240,54,43,14,+11,73%,152,29%,10,8,+2,,
458806,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 06:40:00,T1,ZETA DIVISION,2 - 1,iZu,29833,T1,overall,"Tejo, Yoru, Cypher",1.14,200,50,37,12,+13,70%,124,24%,4,6,-2,,
458806,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 06:40:00,T1,ZETA DIVISION,2 - 1,BuZz,804,T1,overall,"Neon, Raze, Yoru",1.07,229,50,44,15,+6,70%,152,31%,10,8,+2,,
458806,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 06:40:00,T1,ZETA DIVISION,2 - 1,Sylvan,4056,T1,overall,"Brimstone, Omen",1.06,203,40,39,33,+1,78%,130,20%,5,6,-1,,
458806,VCT 2025: Pacific Stage 1,"Group Stage: 
						Week 1",2025-03-22 06:40:00,T1,ZETA DIVISION,2 - 1,stax,485,T1,overall,"Breach, Fade, Sova",1.00,157,36,38,26,-2,72%,105,22%,2,5,-3,,
